prompt_id,official_record_indexes,prompt_en,dimensions,primary_dimension,reference_image,reference_identity,sample_count,source_dataset,source_file
ovb0001,1,"In a still frame, a stop sign",temporal_flickering,temporal_flickering,/data/zengxin/zwt/face_study/face/CVPR25-ConsisID/source/ConsisID-main/asserts/example_images/3.png,ConsisID固定参考人脸,1,VBench v1 official prompt suite,/data/zengxin/zwt/external/VBench-v1/vbench/VBench_full_info.json
ovb0002,2,"a toilet, frozen in time",temporal_flickering,temporal_flickering,/data/zengxin/zwt/face_study/face/CVPR25-ConsisID/source/ConsisID-main/asserts/example_images/3.png,ConsisID固定参考人脸,1,VBench v1 official prompt suite,/data/zengxin/zwt/external/VBench-v1/vbench/VBench_full_info.json
ovb0003,3,"a laptop, frozen in time",temporal_flickering,temporal_flickering,/data/zengxin/zwt/face_study/face/CVPR25-ConsisID/source/ConsisID-main/asserts/example_images/3.png,ConsisID固定参考人脸,1,VBench v1 official prompt suite,/data/zengxin/zwt/external/VBench-v1/vbench/VBench_full_info.json
ovb0004,4,A tranquil tableau of alley,temporal_flickering,temporal_flickering,/data/zengxin/zwt/face_study/face/CVPR25-ConsisID/source/ConsisID-main/asserts/example_images/3.png,ConsisID固定参考人脸,1,VBench v1 official prompt suite,/data/zengxin/zwt/external/VBench-v1/vbench/VBench_full_info.json
ovb0005,5,A tranquil tableau of bar,temporal_flickering,temporal_flickering,/data/zengxin/zwt/face_study/face/CVPR25-ConsisID/source/ConsisID-main/asserts/example_images/3.png,ConsisID固定参考人脸,1,VBench v1 official prompt suite,/data/zengxin/zwt/external/VBench-v1/vbench/VBench_full_info.json
ovb0006,6,A tranquil tableau of barn,temporal_flickering,temporal_flickering,/data/zengxin/zwt/face_study/face/CVPR25-ConsisID/source/ConsisID-main/asserts/example_images/3.png,ConsisID固定参考人脸,1,VBench v1 official prompt suite,/data/zengxin/zwt/external/VBench-v1/vbench/VBench_full_info.json
ovb0007,7,A tranquil tableau of bathroom,temporal_flickering,temporal_flickering,/data/zengxin/zwt/face_study/face/CVPR25-ConsisID/source/ConsisID-main/asserts/example_images/3.png,ConsisID固定参考人脸,1,VBench v1 official prompt suite,/data/zengxin/zwt/external/VBench-v1/vbench/VBench_full_info.json
ovb0008,8,A tranquil tableau of bedroom,temporal_flickering,temporal_flickering,/data/zengxin/zwt/face_study/face/CVPR25-ConsisID/source/ConsisID-main/asserts/example_images/3.png,ConsisID固定参考人脸,1,VBench v1 official prompt suite,/data/zengxin/zwt/external/VBench-v1/vbench/VBench_full_info.json
ovb0009,9,A tranquil tableau of cliff,temporal_flickering,temporal_flickering,/data/zengxin/zwt/face_study/face/CVPR25-ConsisID/source/ConsisID-main/asserts/example_images/3.png,ConsisID固定参考人脸,1,VBench v1 official prompt suite,/data/zengxin/zwt/external/VBench-v1/vbench/VBench_full_info.json
ovb0010,10,"In a still frame, courtyard",temporal_flickering,temporal_flickering,/data/zengxin/zwt/face_study/face/CVPR25-ConsisID/source/ConsisID-main/asserts/example_images/3.png,ConsisID固定参考人脸,1,VBench v1 official prompt suite,/data/zengxin/zwt/external/VBench-v1/vbench/VBench_full_info.json
