Finalizer batch: consisid_official_vbench_v1_single_20260705_155651
2026-07-05_16:01:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=0
2026-07-05_16:01:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=0
2026-07-05_16:06:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=1
2026-07-05_16:06:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=1
2026-07-05_16:11:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=2
2026-07-05_16:11:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=2
2026-07-05_16:16:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=3
2026-07-05_16:16:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=3
2026-07-05_16:21:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=4
2026-07-05_16:21:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=4
2026-07-05_16:26:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=6
2026-07-05_16:26:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=5
2026-07-05_16:31:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=7
2026-07-05_16:31:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=6
2026-07-05_16:36:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=8
2026-07-05_16:36:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=7
2026-07-05_16:41:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=9
2026-07-05_16:41:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=8
2026-07-05_16:46:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=10
2026-07-05_16:46:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=9
2026-07-05_16:51:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=11
2026-07-05_16:51:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=10
2026-07-05_16:56:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=12
2026-07-05_16:56:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=11
2026-07-05_17:01:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=13
2026-07-05_17:01:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=12
2026-07-05_17:06:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=14
2026-07-05_17:06:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=13
2026-07-05_17:11:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=15
2026-07-05_17:11:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=14
2026-07-05_17:16:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=16
2026-07-05_17:16:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=15
2026-07-05_17:21:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=17
2026-07-05_17:21:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=16
2026-07-05_17:26:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=18
2026-07-05_17:26:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=17
2026-07-05_17:31:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=19
2026-07-05_17:31:02 consisid_official_vbench_v1_single_20260705_155651_shard02 videos=18
2026-07-05_17:36:02 consisid_official_vbench_v1_single_20260705_155651_shard01 videos=20
