video,source,prompt_id,model_name,subject_id,representative_frame
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0002_consisid_official_vbench_v1_0.mp4,consisid,ovb0002,consisid,s001,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0004_consisid_official_vbench_v1_0.mp4,consisid,ovb0004,consisid,s002,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0006_consisid_official_vbench_v1_0.mp4,consisid,ovb0006,consisid,s003,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0008_consisid_official_vbench_v1_0.mp4,consisid,ovb0008,consisid,s004,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0010_consisid_official_vbench_v1_0.mp4,consisid,ovb0010,consisid,s005,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0012_consisid_official_vbench_v1_0.mp4,consisid,ovb0012,consisid,s006,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0014_consisid_official_vbench_v1_0.mp4,consisid,ovb0014,consisid,s007,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0016_consisid_official_vbench_v1_0.mp4,consisid,ovb0016,consisid,s008,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0018_consisid_official_vbench_v1_0.mp4,consisid,ovb0018,consisid,s009,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0020_consisid_official_vbench_v1_0.mp4,consisid,ovb0020,consisid,s010,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0022_consisid_official_vbench_v1_0.mp4,consisid,ovb0022,consisid,s011,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0024_consisid_official_vbench_v1_0.mp4,consisid,ovb0024,consisid,s012,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0026_consisid_official_vbench_v1_0.mp4,consisid,ovb0026,consisid,s013,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0028_consisid_official_vbench_v1_0.mp4,consisid,ovb0028,consisid,s014,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0030_consisid_official_vbench_v1_0.mp4,consisid,ovb0030,consisid,s015,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0032_consisid_official_vbench_v1_0.mp4,consisid,ovb0032,consisid,s016,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0034_consisid_official_vbench_v1_0.mp4,consisid,ovb0034,consisid,s017,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0036_consisid_official_vbench_v1_0.mp4,consisid,ovb0036,consisid,s018,
data/generated_official_vbench/consisid_official_vbench_v1_single_20260705_155651_shard02/consisid_official_vbench_v1/ovb0038_consisid_official_vbench_v1_0.mp4,consisid,ovb0038,consisid,s019,
