本地完整归档相对路径,文件名,类别,大小_MB,GitHub状态
03_视频目录/shard01_原始视频_472/ovb0001_consisid_official_vbench_v1_0.mp4,ovb0001_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.223,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0003_consisid_official_vbench_v1_0.mp4,ovb0003_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.411,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0005_consisid_official_vbench_v1_0.mp4,ovb0005_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.373,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0007_consisid_official_vbench_v1_0.mp4,ovb0007_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.201,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0009_consisid_official_vbench_v1_0.mp4,ovb0009_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.594,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0011_consisid_official_vbench_v1_0.mp4,ovb0011_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.278,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0013_consisid_official_vbench_v1_0.mp4,ovb0013_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.338,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0015_consisid_official_vbench_v1_0.mp4,ovb0015_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.212,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0017_consisid_official_vbench_v1_0.mp4,ovb0017_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.600,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0019_consisid_official_vbench_v1_0.mp4,ovb0019_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.375,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0021_consisid_official_vbench_v1_0.mp4,ovb0021_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.316,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0023_consisid_official_vbench_v1_0.mp4,ovb0023_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.641,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0025_consisid_official_vbench_v1_0.mp4,ovb0025_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.336,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0027_consisid_official_vbench_v1_0.mp4,ovb0027_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.322,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0029_consisid_official_vbench_v1_0.mp4,ovb0029_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.251,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0031_consisid_official_vbench_v1_0.mp4,ovb0031_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.293,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0033_consisid_official_vbench_v1_0.mp4,ovb0033_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.282,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0035_consisid_official_vbench_v1_0.mp4,ovb0035_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,1.058,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0037_consisid_official_vbench_v1_0.mp4,ovb0037_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.319,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0039_consisid_official_vbench_v1_0.mp4,ovb0039_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.430,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0041_consisid_official_vbench_v1_0.mp4,ovb0041_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.437,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0043_consisid_official_vbench_v1_0.mp4,ovb0043_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.592,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0045_consisid_official_vbench_v1_0.mp4,ovb0045_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.324,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0047_consisid_official_vbench_v1_0.mp4,ovb0047_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.348,未上传，仅在本地完整归档中保留
03_视频目录/shard01_原始视频_472/ovb0049_consisid_official_vbench_v1_0.mp4,ovb0049_consisid_official_vbench_v1_0.mp4,shard01_原始视频_472,0.722,未上传，仅在本地完整归档中保留
